unit_id,baseline_rate,evoked_rate,evoked_ratio,t_stat,p_value,waveform_duration,evoke_positive,evoke_significant,low_spike_width,positive,session_id
951888826,4.938271604938271,2.3391812865497075,0.562315351789036,-0.6140976471957925,0.7288434266385075,0.549413735343384,True,False,False,False,746083955
951888857,7.407407407407408,7.017543859649122,0.9536285648040806,-0.065441999100369,0.5259407376237362,0.521943048576214,True,False,False,False,746083955
951889405,9.876543209876544,7.017543859649122,0.73714080888942,-0.4435710073401913,0.6702368020306048,0.343383584589615,True,False,True,False,746083955
951888883,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.700502512562814,True,False,False,False,746083955
951888874,9.876543209876544,4.678362573099415,0.5220741979807635,-0.8722110451014068,0.806085955855499,0.521943048576214,True,False,False,False,746083955
951888930,0.0,0.0,1.0,,,0.65929648241206,True,False,False,False,746083955
951889030,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.247236180904523,True,False,True,False,746083955
951888972,0.0,0.0,1.0,,,0.233500837520938,True,False,True,False,746083955
951889021,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.412060301507538,True,False,True,False,746083955
951889425,0.0,0.0,1.0,,,0.65929648241206,True,False,False,False,746083955
951889147,12.34567901234568,9.35672514619883,0.7760358342665173,-0.4091869553587315,0.6578062336188892,0.274706867671692,True,False,True,False,746083955
951785385,2.469135802469136,2.3391812865497075,0.9625398014609478,-0.0377817300128182,0.5149836933442826,0.782914572864322,True,False,False,False,773418906
951785427,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.645561139028476,True,False,False,False,773418906
951785493,0.0,0.0,1.0,,,0.590619765494137,True,False,False,False,773418906
951785584,12.34567901234568,7.017543859649122,0.6007595306490092,-0.774563159040659,0.7786298159192908,0.480737018425461,True,False,False,False,773418906
951785569,0.0,0.0,1.0,,,0.219765494137353,True,False,True,False,773418906
951785575,0.0,0.0,1.0,,,0.631825795644891,True,False,False,False,773418906
